"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.55","46.57","MONT LAURIER","7035160","2023-08-05","2023","08","05","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-06","2023","08","06","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-07","2023","08","07","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-08","2023","08","08","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-09","2023","08","09","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-10","2023","08","10","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-11","2023","08","11","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-12","2023","08","12","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-13","2023","08","13","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-14","2023","08","14","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-15","2023","08","15","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-16","2023","08","16","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-17","2023","08","17","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-18","2023","08","18","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-19","2023","08","19","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-20","2023","08","20","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-21","2023","08","21","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-22","2023","08","22","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-23","2023","08","23","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-24","2023","08","24","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-25","2023","08","25","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-26","2023","08","26","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-27","2023","08","27","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-28","2023","08","28","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-29","2023","08","29","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-30","2023","08","30","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-08-31","2023","08","31","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-01","2023","09","01","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-02","2023","09","02","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-03","2023","09","03","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-04","2023","09","04","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-05","2023","09","05","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-06","2023","09","06","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-07","2023","09","07","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-08","2023","09","08","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-09","2023","09","09","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-10","2023","09","10","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-11","2023","09","11","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-12","2023","09","12","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-13","2023","09","13","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-14","2023","09","14","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-15","2023","09","15","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-16","2023","09","16","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-17","2023","09","17","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-18","2023","09","18","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-19","2023","09","19","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-20","2023","09","20","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-21","2023","09","21","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-22","2023","09","22","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-23","2023","09","23","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-24","2023","09","24","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-25","2023","09","25","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-26","2023","09","26","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-27","2023","09","27","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-28","2023","09","28","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-29","2023","09","29","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-09-30","2023","09","30","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-01","2023","10","01","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-02","2023","10","02","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-03","2023","10","03","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-04","2023","10","04","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-05","2023","10","05","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-06","2023","10","06","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-07","2023","10","07","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-08","2023","10","08","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-09","2023","10","09","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-10","2023","10","10","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-11","2023","10","11","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-12","2023","10","12","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-13","2023","10","13","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-14","2023","10","14","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-15","2023","10","15","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-16","2023","10","16","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-17","2023","10","17","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-18","2023","10","18","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-19","2023","10","19","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-20","2023","10","20","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-21","2023","10","21","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-22","2023","10","22","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-23","2023","10","23","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-24","2023","10","24","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-25","2023","10","25","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-26","2023","10","26","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-27","2023","10","27","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-28","2023","10","28","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-29","2023","10","29","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-30","2023","10","30","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-10-31","2023","10","31","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-01","2023","11","01","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-02","2023","11","02","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-03","2023","11","03","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-04","2023","11","04","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-05","2023","11","05","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-06","2023","11","06","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-07","2023","11","07","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-08","2023","11","08","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-09","2023","11","09","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-10","2023","11","10","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-11","2023","11","11","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-12","2023","11","12","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-13","2023","11","13","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-14","2023","11","14","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-15","2023","11","15","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-16","2023","11","16","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-17","2023","11","17","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-18","2023","11","18","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-19","2023","11","19","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-20","2023","11","20","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-21","2023","11","21","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-22","2023","11","22","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-23","2023","11","23","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-24","2023","11","24","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-25","2023","11","25","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-26","2023","11","26","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-27","2023","11","27","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-28","2023","11","28","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-29","2023","11","29","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-11-30","2023","11","30","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-01","2023","12","01","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-02","2023","12","02","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-03","2023","12","03","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-04","2023","12","04","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-05","2023","12","05","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-06","2023","12","06","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-07","2023","12","07","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-08","2023","12","08","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-09","2023","12","09","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-10","2023","12","10","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-11","2023","12","11","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-12","2023","12","12","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-13","2023","12","13","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-14","2023","12","14","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-15","2023","12","15","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-16","2023","12","16","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-17","2023","12","17","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-18","2023","12","18","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-19","2023","12","19","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-20","2023","12","20","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-21","2023","12","21","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-22","2023","12","22","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-23","2023","12","23","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-24","2023","12","24","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-25","2023","12","25","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-26","2023","12","26","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-27","2023","12","27","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-28","2023","12","28","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-29","2023","12","29","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-30","2023","12","30","","","","","","","","","","","","","","","","","","","","","","",""
"-75.55","46.57","MONT LAURIER","7035160","2023-12-31","2023","12","31","","","","","","","","","","","","","","","","","","","","","","",""
